Issue,	State,	Notes, Observer
00100,	Adressing,	Componentization script. VRD TYPL., Mike LaGattuta
00200,	Postponed,	N/A, Mike LaGattuta
00300,	Postponed,	N/A, Mike LaGattuta
00400,	Adressing,	Componentization script. VRD TYPL., Mike LaGattuta
00500,	Adressing,	Componentization script. VRD TYPL., Mike LaGattuta
00600,	Postponed,	N/A, Mike LaGattuta
00700,	Postponed,	N/A, Mike LaGattuta
00701,	Postponed,	N/A, Mike LaGattuta
00800,	Postponed,	N/A, Mike LaGattuta
00801,	Postponed,	N/A, Mike LaGattuta
00900,	Ignored,	Looks ok to me - According to current UFOs in sources., Mike LaGattuta
01000,	N/A,	N/A, Mike LaGattuta
01001,	Postponed,	Differrence of 700 - 696 = 4px height difference - will resize by 0.573066%. According to current UFOs in sources., Mike LaGattuta
01002,	Ignored,	Please Elaborate, Mike LaGattuta
01003,	Ignored,	Duplicate of #01001, Mike LaGattuta
01100,	Postponed,	Very good idea - should be real italics atleast on the part of widths., Mike LaGattuta
01101,	Postponed,	Duplicate of 01100, Mike LaGattuta
